Acidity,Aftertaste,Aroma,Balance,Body,Category One Defects,Category Two Defects,Clean Cup,Color,Country of Origin,Flavor,Harvest Year,Processing Method,Sweetness,Uniformity,Variety,altitud_limpia,Specialty
7.83,7.5,7.92,7.92,7.5,0,1,10.0,Blue-Green,United States (Hawaii),7.92,2012,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.67,7.75,7.75,7.67,7.83,2,4,10.0,,Mexico,7.92,2012,Washed / Wet,10.0,10.0,Pacamara,900.0,Specialty
7.92,7.83,7.5,7.75,7.92,0,2,10.0,,Ethiopia,7.75,2009/2010,,10.0,10.0,,,Specialty
7.75,7.83,7.33,7.92,7.75,0,4,10.0,Green,Kenya,7.58,2017 / 2018,Washed / Wet,10.0,10.0,Sl28,1800.0,Specialty
7.67,7.75,7.92,7.75,7.67,0,3,10.0,Green,Honduras,8.0,2016,,10.0,10.0,Caturra,1500.0,Specialty
7.83,7.5,7.58,8.5,7.67,0,5,10.0,Green,Colombia,7.75,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.75,7.58,7.58,7.75,7.92,0,2,10.0,Green,Honduras,7.92,2016,Washed / Wet,10.0,10.0,Catuai,1500.0,Specialty
7.83,7.75,7.67,7.83,7.75,0,4,10.0,,Colombia,7.67,2016,,10.0,10.0,,,Specialty
7.67,8.0,7.75,7.83,8.08,6,0,10.0,Green,Colombia,7.67,2015,Natural / Dry,10.0,10.0,Caturra,442.0,Specialty
7.83,7.33,7.75,8.08,7.58,0,0,10.0,Green,Colombia,7.58,2013,Washed / Wet,10.0,10.0,Caturra,1800.0,Specialty
7.83,7.75,8.0,7.67,7.5,0,1,10.0,Blue-Green,Mexico,7.75,2012,Washed / Wet,10.0,10.0,Typica,1700.0,Specialty
7.75,7.5,8.17,7.67,7.5,0,4,10.0,,Brazil,8.0,2011,,10.0,10.0,Yellow Bourbon,1275.0,Specialty
7.5,7.5,8.0,7.75,7.67,0,2,10.0,,Brazil,8.0,2011,,10.0,10.0,,1050.0,Specialty
7.75,7.92,7.75,7.92,7.5,0,1,10.0,,Ethiopia,7.75,,,10.0,10.0,,1493.52,Specialty
7.67,7.75,7.5,7.92,7.92,1,1,10.0,,Guatemala,7.67,December 2009-March 2010,,10.0,10.0,,1386.84,Specialty
7.67,7.75,7.92,7.83,7.67,0,0,10.0,Blue-Green,Taiwan,7.75,2016,Washed / Wet,10.0,10.0,Typica,1000.0,Specialty
7.42,7.75,7.83,7.67,7.83,0,0,10.0,Green,Thailand,7.75,2015,Natural / Dry,10.0,10.0,Catimor,1200.0,Specialty
7.58,7.75,7.83,8.0,7.67,0,2,10.0,Green,Colombia,7.58,2016,Natural / Dry,10.0,10.0,Caturra,2560.0,Specialty
7.92,7.58,7.75,7.75,7.75,0,4,10.0,Green,Guatemala,7.75,2016,Washed / Wet,10.0,10.0,Caturra,1500.0,Specialty
8.08,7.5,7.75,7.67,7.58,0,1,10.0,Green,Guatemala,7.92,2015,Washed / Wet,10.0,10.0,Caturra,1099.4136,Specialty
7.75,7.58,7.83,7.75,7.75,0,1,10.0,Green,China,7.83,2015,Natural / Dry,10.0,10.0,Catimor,1400.0,Specialty
7.75,7.75,7.67,7.92,7.67,0,3,10.0,Green,Colombia,7.67,2015,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.58,7.75,7.83,7.75,7.92,4,2,10.0,Green,Colombia,7.67,2015,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.58,7.83,7.83,7.75,7.67,0,0,10.0,Green,Colombia,7.75,2015/2016,Washed / Wet,10.0,10.0,Other,1800.0,Specialty
7.75,7.83,7.42,7.83,7.92,3,0,10.0,Green,Colombia,7.67,2015,Natural / Dry,10.0,10.0,Caturra,442.0,Specialty
7.83,7.75,7.83,7.67,7.67,0,7,10.0,Green,"Tanzania, United Republic Of",7.67,2014,Washed / Wet,10.0,10.0,Other,1620.0,Specialty
7.75,7.75,7.83,7.75,7.67,0,2,10.0,Green,"Tanzania, United Republic Of",7.75,2014,Washed / Wet,10.0,10.0,Other,1600.0,Specialty
7.92,7.5,7.83,7.75,7.58,0,1,10.0,Green,Guatemala,7.83,2014,Other,10.0,10.0,Bourbon,1219.2,Specialty
7.83,7.75,7.58,7.83,7.92,0,2,10.0,Green,Colombia,7.5,2013,Washed / Wet,10.0,10.0,Caturra,1700.0,Specialty
7.92,7.92,7.33,8.08,7.92,1,1,10.0,Bluish-Green,United States (Hawaii),7.92,2012,Natural / Dry,9.33,10.0,Hawaiian Kona,,Specialty
7.83,7.67,7.83,7.75,7.5,0,1,10.0,Green,Mexico,7.92,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Typica,1450.0,Specialty
7.67,7.75,7.83,7.58,7.83,0,0,10.0,Green,Mexico,7.83,2012,Washed / Wet,10.0,10.0,Bourbon,1170.0,Specialty
7.75,7.67,7.83,7.75,7.5,0,4,10.0,Bluish-Green,Mexico,7.92,2012,Washed / Wet,10.0,10.0,Bourbon,1400.0,Specialty
7.67,7.58,8.17,7.58,7.83,4,29,10.0,Green,Uganda,7.75,2012,Natural / Dry,10.0,10.0,Other,1700.0,Specialty
7.83,7.58,7.75,7.75,7.67,0,1,10.0,Green,Guatemala,7.83,2017,Washed / Wet,10.0,10.0,Bourbon,1700.0,Specialty
7.67,7.58,7.83,7.83,7.75,0,2,10.0,Green,Colombia,7.75,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.67,7.67,7.92,7.67,7.5,0,2,10.0,Bluish-Green,Costa Rica,7.75,2016,Washed / Wet,10.0,10.0,Caturra,1700.0,Specialty
8.0,7.58,7.75,7.83,7.67,0,6,10.0,Green,Guatemala,7.75,2016,Washed / Wet,10.0,10.0,Caturra,1116.7872,Specialty
7.92,7.58,7.75,7.67,7.67,0,10,10.0,Green,Guatemala,7.92,2016,Washed / Wet,10.0,10.0,Caturra,1565.0,Specialty
7.83,7.58,7.58,7.67,7.83,0,2,10.0,Green,Guatemala,7.83,2016,Washed / Wet,10.0,10.0,Bourbon,3280.0,Specialty
7.67,7.5,8.0,7.83,8.0,0,0,10.0,Bluish-Green,Colombia,7.5,2015,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.5,7.83,7.67,7.83,7.67,0,0,10.0,Bluish-Green,Nicaragua,7.83,2015,Natural / Dry,10.0,10.0,Caturra,1000.0,Specialty
7.67,7.75,7.67,7.75,7.83,0,16,10.0,,Brazil,7.75,2015,Natural / Dry,10.0,10.0,Catuai,1150.0,Specialty
7.75,7.67,7.67,8.0,7.5,0,0,10.0,Blue-Green,Costa Rica,7.75,2014,Washed / Wet,10.0,10.0,Caturra,1850.0,Specialty
7.83,7.58,7.5,7.83,7.75,0,5,10.0,Green,Ethiopia,7.92,2014,Natural / Dry,10.0,10.0,Gesha,1606.5,Specialty
7.75,7.75,7.92,7.58,7.75,0,0,10.0,Green,"Tanzania, United Republic Of",7.75,2014,Washed / Wet,10.0,10.0,Other,1400.0,Specialty
7.42,7.67,7.67,8.58,7.83,0,4,10.0,Green,Colombia,7.5,2014/2015,Washed / Wet,10.0,10.0,Other,1530.0,Specialty
7.75,7.67,7.67,7.75,7.75,0,0,10.0,Bluish-Green,Guatemala,7.75,2013,Washed / Wet,10.0,10.0,,,Specialty
7.75,7.75,7.58,7.83,7.75,0,0,10.0,Green,Kenya,7.75,2013,Washed / Wet,10.0,10.0,Sl28,250.5,Specialty
7.67,7.75,7.58,8.0,7.67,0,3,10.0,Green,Brazil,7.83,2012,Natural / Dry,10.0,10.0,Mundo Novo,1038.5,Specialty
7.67,7.67,7.92,7.92,7.83,0,4,10.0,Green,Guatemala,7.75,2013,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
7.17,7.5,8.42,8.17,7.58,0,2,10.0,Bluish-Green,El Salvador,8.08,2013,Natural / Dry,10.0,9.33,Bourbon,1500.0,Specialty
7.75,7.75,7.75,7.75,7.83,0,2,10.0,Green,Colombia,7.75,2012,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
8.0,7.5,7.83,7.83,7.83,0,2,10.0,Bluish-Green,Guatemala,7.5,2012,Natural / Dry,10.0,10.0,Catuai,,Specialty
7.83,7.5,7.83,7.75,7.83,0,1,10.0,Green,Uganda,7.75,2012,Washed / Wet,10.0,10.0,Other,1600.0,Specialty
7.75,7.56,7.81,7.75,7.63,0,0,10.0,Bluish-Green,Indonesia,7.88,2017,Natural / Dry,10.0,10.0,Mandheling,,Specialty
7.5,7.42,7.83,8.5,7.83,1,3,10.0,Green,Colombia,7.5,2017 / 2018,Washed / Wet,10.0,10.0,Caturra,442.0,Specialty
7.67,7.67,7.58,7.83,7.75,0,4,10.0,Bluish-Green,Taiwan,7.67,2016,Washed / Wet,10.0,10.0,Typica,968.0,Specialty
7.58,7.5,8.0,7.67,7.92,0,4,10.0,Green,Guatemala,7.75,2016,Washed / Wet,10.0,10.0,Bourbon,,Specialty
7.75,7.67,7.92,7.67,7.67,0,2,10.0,,Colombia,7.75,2014,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
8.0,7.67,7.58,7.67,7.75,0,10,10.0,Bluish-Green,Guatemala,7.75,2014,Washed / Wet,10.0,10.0,Bourbon,1550.0,Specialty
7.83,7.83,7.83,8.08,7.42,1,9,10.0,Green,United States (Hawaii),7.75,2012,Natural / Dry,10.0,9.33,Hawaiian Kona,,Specialty
7.75,7.67,7.67,7.75,7.67,1,10,10.0,Green,Mexico,7.75,2012,Washed / Wet,10.0,10.0,Typica,1480.0,Specialty
8.0,7.83,7.92,7.92,7.92,0,15,10.0,,Ethiopia,7.92,2012,Natural / Dry,8.67,10.0,Other,1800.0,Specialty
7.75,7.67,7.58,7.75,7.83,1,13,10.0,,Costa Rica,7.75,2017,Washed / Wet,10.0,10.0,,,Specialty
7.75,7.67,7.83,7.75,7.33,3,1,10.0,Green,Ethiopia,7.75,2017,Natural / Dry,10.0,10.0,Gesha,1800.0,Specialty
7.92,7.75,7.42,7.58,7.75,0,5,10.0,Green,Honduras,7.83,2017,Washed / Wet,10.0,10.0,Caturra,1500.0,Specialty
7.92,7.58,7.67,7.67,7.75,0,7,10.0,Green,Guatemala,7.83,2015,Washed / Wet,10.0,10.0,Caturra,1706.88,Specialty
7.58,7.83,7.67,7.83,7.58,2,7,10.0,Green,Colombia,7.67,2014/2015,Washed / Wet,10.0,10.0,Other,1600.0,Specialty
7.92,7.42,7.92,7.83,7.75,0,1,10.0,Green,Guatemala,7.67,2014,Natural / Dry,10.0,10.0,Bourbon,1219.2,Specialty
7.83,7.5,7.75,7.67,7.58,0,0,10.0,Green,Guatemala,7.83,2014,Other,10.0,10.0,Bourbon,1219.2,Specialty
7.67,7.67,7.67,7.75,7.67,0,0,10.0,Green,Colombia,7.75,2014,Washed / Wet,10.0,10.0,,1480.0,Specialty
7.92,7.75,7.58,7.92,7.75,0,0,10.0,Green,Colombia,7.42,2014,Natural / Dry,10.0,10.0,Caturra,1450.0,Specialty
7.5,7.5,7.67,7.67,7.67,0,3,10.0,Green,Colombia,7.67,2014,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.58,7.5,7.75,7.92,7.67,4,40,10.0,Green,Ethiopia,7.75,2013,Natural / Dry,10.0,10.0,Other,1550.0,Specialty
7.25,7.67,7.58,7.75,8.0,0,0,10.0,Green,Brazil,7.83,2013/2014,Natural / Dry,10.0,10.0,Yellow Bourbon,1260.0,Specialty
7.75,7.67,7.67,7.75,7.67,0,1,10.0,Green,Colombia,7.83,2013,Washed / Wet,10.0,10.0,Caturra,1700.0,Specialty
7.75,7.5,7.67,7.67,7.92,0,2,10.0,Green,Kenya,7.83,2012,Washed / Wet,10.0,10.0,Sl34,1200.0,Specialty
8.42,8.17,7.92,8.17,8.08,0,0,8.67,Green,Thailand,8.17,2012,Washed / Wet,9.33,8.67,Other,,Specialty
7.75,7.67,7.67,7.67,7.83,0,0,10.0,Bluish-Green,Kenya,7.75,2012,Washed / Wet,10.0,10.0,Sl28,1650.0,Specialty
7.67,7.58,7.92,7.83,7.67,10,26,10.0,Green,Uganda,7.75,2012,Washed / Wet,10.0,10.0,Other,1700.0,Specialty
7.75,7.58,7.58,7.75,7.58,0,0,10.0,,Thailand,7.75,2011,,10.0,10.0,,,Specialty
7.5,7.58,7.5,7.5,7.58,0,3,10.0,Green,Brazil,7.75,2017 / 2018,Natural / Dry,10.0,10.0,Bourbon,890.0,Specialty
7.92,7.58,7.83,7.5,7.42,0,5,10.0,Green,Mexico,7.83,2017,Washed / Wet,10.0,10.0,Mundo Novo,1300.0,Specialty
7.67,7.5,7.67,7.83,7.67,0,1,10.0,Bluish-Green,Thailand,7.75,2015,Natural / Dry,10.0,10.0,Catimor,1350.0,Specialty
7.75,7.67,7.58,7.83,7.58,0,7,10.0,Green,Brazil,7.67,2016,Natural / Dry,10.0,10.0,Bourbon,934.0,Specialty
7.75,7.83,7.83,7.75,7.83,0,3,10.0,Green,Taiwan,7.75,2015,Washed / Wet,10.0,9.33,Typica,1200.0,Specialty
7.75,7.5,7.75,7.75,7.83,1,2,10.0,Green,Colombia,7.67,2016,,10.0,10.0,,442.0,Specialty
7.83,7.5,7.75,7.92,7.75,1,5,10.0,,Colombia,7.58,2016,,10.0,10.0,,,Specialty
7.75,7.58,7.75,7.67,7.75,0,0,10.0,Blue-Green,Taiwan,7.75,2014,Natural / Dry,10.0,10.0,,,Specialty
7.83,7.5,7.92,7.67,7.58,0,0,10.0,,Colombia,7.67,2015,Washed / Wet,10.0,10.0,,,Specialty
7.58,7.58,7.83,7.75,7.75,1,1,10.0,,Colombia,7.75,2014,Washed / Wet,10.0,10.0,,,Specialty
7.83,7.67,7.75,7.67,7.83,0,1,10.0,Green,Colombia,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.92,7.92,8.0,7.33,7.67,0,0,10.0,Green,Taiwan,7.92,2014,Washed / Wet,10.0,10.0,Typica,950.0,Specialty
7.75,7.67,7.67,7.83,7.67,0,3,10.0,Green,Colombia,7.83,2014,Natural / Dry,10.0,10.0,Caturra,1550.0,Specialty
7.67,7.58,7.67,7.83,7.75,10,32,10.0,Blue-Green,Mexico,7.75,2012,Washed / Wet,10.0,10.0,Typica,900.0,Specialty
7.83,7.58,7.5,7.75,7.75,0,2,10.0,,Mexico,7.67,2012,Washed / Wet,10.0,10.0,Typica,1500.0,Specialty
7.92,7.83,7.75,7.67,7.75,0,2,10.0,Green,Mexico,7.92,2012,Washed / Wet,10.0,9.33,Typica,1400.0,Specialty
7.83,7.5,7.92,7.67,7.58,1,6,10.0,Green,Colombia,7.58,2017,Washed / Wet,10.0,10.0,Caturra,2527.0,Specialty
7.75,7.5,7.83,7.75,7.75,1,0,10.0,Green,Colombia,7.67,2016,,10.0,10.0,Caturra,,Specialty
7.67,7.75,7.67,7.75,7.5,0,0,10.0,Blue-Green,Costa Rica,7.67,2015,Washed / Wet,10.0,10.0,Caturra,1850.0,Specialty
7.75,7.5,7.75,7.58,7.83,0,6,10.0,Green,Guatemala,7.75,2016,Washed / Wet,10.0,10.0,Bourbon,1500.0,Specialty
7.75,7.5,7.75,7.67,7.75,0,0,10.0,,Taiwan,7.67,2016,,10.0,10.0,,1200.0,Specialty
8.0,7.42,7.25,7.83,7.75,0,0,10.0,Green,Brazil,7.58,2015/2016,Natural / Dry,10.0,10.0,Yellow Bourbon,,Specialty
7.75,7.67,7.67,7.75,7.42,0,1,10.0,Green,Taiwan,7.75,2014,Washed / Wet,10.0,10.0,Typica,525.0,Specialty
7.67,7.67,7.75,7.67,7.58,0,4,10.0,Green,Ethiopia,7.75,2014,Natural / Dry,10.0,10.0,,1676.5,Specialty
7.5,7.58,7.67,8.17,7.83,0,1,10.0,Green,Brazil,7.67,2014/2015,Semi-Washed / Semi-Pulped,9.33,10.0,Bourbon,1200.0,Specialty
7.83,7.5,7.83,7.83,7.75,0,3,10.0,Green,Costa Rica,7.42,2013,Washed / Wet,10.0,10.0,Catuai,1300.0,Specialty
8.0,7.33,7.58,7.75,7.58,0,1,10.0,Green,Guatemala,7.83,2014,Washed / Wet,10.0,10.0,Bourbon,1219.2,Specialty
7.67,7.33,7.92,7.5,8.17,0,0,10.0,Green,Brazil,7.5,2013/2014,Natural / Dry,10.0,10.0,Yellow Bourbon,1260.0,Specialty
7.75,7.58,7.5,7.83,7.83,0,0,10.0,Bluish-Green,Ecuador,7.67,2013,Natural / Dry,10.0,10.0,,800.0,Specialty
7.83,7.58,7.67,7.67,7.58,0,1,10.0,Green,Colombia,7.58,2013,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
7.83,7.5,7.5,7.67,7.83,0,3,10.0,Green,Guatemala,7.83,2013,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
7.42,7.67,7.67,7.5,7.67,0,2,10.0,Green,Mexico,8.0,2012,Natural / Dry,10.0,10.0,Bourbon,1218.0,Specialty
7.75,7.5,7.67,7.75,7.75,0,4,10.0,,Mexico,7.58,2012,Natural / Dry,10.0,10.0,Pacas,1300.0,Specialty
7.67,7.58,7.83,7.58,7.5,0,3,10.0,Green,Brazil,7.83,2011/2012,Semi-Washed / Semi-Pulped,10.0,10.0,Yellow Bourbon,1250.0,Specialty
8.0,7.58,7.75,7.58,7.67,0,2,10.0,,Thailand,7.75,2011,,10.0,10.0,,1499.9208,Specialty
7.58,7.58,7.5,7.83,7.75,0,0,10.0,,Thailand,7.83,2011,,10.0,10.0,,,Specialty
8.0,7.58,7.58,7.5,7.83,0,3,10.0,,Ethiopia,7.83,2010,,10.0,10.0,,,Specialty
7.58,7.5,7.75,7.75,7.75,0,2,10.0,Green,Kenya,7.58,,Washed / Wet,10.0,10.0,Sl28,1800.0,Specialty
7.75,7.58,7.67,7.67,7.67,0,5,10.0,Green,Brazil,7.67,2017 / 2018,Natural / Dry,10.0,10.0,Bourbon,890.0,Specialty
7.58,7.58,7.83,7.58,7.58,0,1,10.0,Green,Colombia,7.83,2017,Washed / Wet,10.0,10.0,Caturra,442.0,Specialty
7.58,7.58,7.67,7.83,7.67,0,0,10.0,Green,Taiwan,7.67,2016,Natural / Dry,10.0,10.0,Typica,750.0,Specialty
7.67,7.5,7.92,7.5,7.75,1,4,10.0,Green,Colombia,7.75,2016,Washed / Wet,10.0,10.0,,,Specialty
7.5,7.67,7.83,7.67,7.58,0,2,10.0,Green,China,7.75,2015,Washed / Wet,10.0,10.0,Catimor,1650.0,Specialty
7.67,7.5,7.75,7.83,7.58,0,0,10.0,Green,Colombia,7.67,2015/2016,Natural / Dry,10.0,10.0,Caturra,442.0,Specialty
7.75,7.58,8.0,7.5,7.33,0,0,10.0,Green,Uganda,7.92,2013,Natural / Dry,10.0,10.0,Bourbon,1400.0,Specialty
7.67,7.83,7.83,8.17,8.0,0,1,9.33,Green,United States (Puerto Rico),7.83,2013,Washed / Wet,10.0,9.33,Other,853.44,Specialty
7.92,7.67,7.67,7.67,7.5,0,5,10.0,Green,Colombia,7.67,2014,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.42,7.42,7.67,8.33,8.0,0,3,10.0,Green,Colombia,7.42,2014,Washed / Wet,10.0,10.0,Other,1550.0,Specialty
7.67,7.75,7.58,7.67,7.67,0,1,10.0,Blue-Green,Colombia,7.67,2013,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
7.58,7.75,7.75,8.0,7.42,0,3,10.0,Green,Colombia,7.67,2013,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
7.58,7.67,7.25,8.25,7.83,0,0,10.0,Bluish-Green,United States (Hawaii),7.42,2013,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.5,7.58,7.83,7.67,7.75,5,5,10.0,,Mexico,7.58,2012,Natural / Dry,10.0,10.0,Caturra,700.0,Specialty
7.67,7.58,7.67,7.75,7.75,0,1,10.0,Bluish-Green,Guatemala,7.58,2012,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
7.33,7.58,7.83,7.67,7.42,0,1,10.0,,Colombia,7.83,January 2011,,10.0,10.0,,1600.0,Specialty
7.25,7.25,7.75,8.5,7.58,0,1,10.0,,Colombia,7.67,4T/10,,10.0,10.0,,1600.0,Specialty
7.67,7.75,7.83,7.5,7.58,0,0,10.0,,United States (Hawaii),7.67,,,10.0,10.0,,,Specialty
7.67,7.5,7.67,7.5,7.67,0,2,10.0,Green,Brazil,7.83,2017 / 2018,Natural / Dry,10.0,10.0,Bourbon,890.0,Specialty
7.58,7.67,8.08,7.67,7.25,0,0,10.0,Bluish-Green,Kenya,7.67,2017,Washed / Wet,10.0,10.0,Sl28,1700.0,Specialty
7.67,7.67,7.5,8.0,8.0,0,2,10.0,Green,Honduras,7.5,2016,Washed / Wet,10.0,10.0,Caturra,1400.0,Specialty
7.67,7.67,7.67,7.58,7.83,0,3,10.0,Green,Nicaragua,7.75,2016,Washed / Wet,10.0,10.0,Caturra,1250.0,Specialty
7.75,7.58,7.58,7.58,7.58,0,3,10.0,Green,Brazil,7.75,2016,Natural / Dry,10.0,10.0,Bourbon,934.0,Specialty
7.92,7.33,7.5,7.67,7.83,0,0,10.0,Bluish-Green,Taiwan,7.67,2015,Natural / Dry,10.0,10.0,Caturra,1200.0,Specialty
7.5,7.67,7.33,7.5,7.67,0,1,10.0,Blue-Green,Costa Rica,7.67,,,10.0,10.0,,1350.0,Specialty
7.83,7.58,7.5,7.58,7.67,0,0,10.0,Bluish-Green,Thailand,7.75,2014,Washed / Wet,10.0,10.0,,800.0,Specialty
7.75,7.5,7.5,7.67,7.67,0,4,10.0,,Colombia,7.75,2014/2015,Washed / Wet,10.0,10.0,Caturra,1625.0,Specialty
8.0,7.33,8.0,8.0,8.0,0,0,10.0,Green,Guatemala,7.5,2014,Washed / Wet,10.0,9.33,Bourbon,1356.6648,Specialty
7.58,7.67,7.83,7.67,7.58,0,3,10.0,Green,Colombia,7.75,2013,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
7.67,7.67,7.67,7.75,7.33,0,1,10.0,Green,Colombia,7.67,2013,Washed / Wet,10.0,10.0,Caturra,1900.0,Specialty
7.67,7.42,7.67,7.75,8.0,1,3,10.0,Green,Guatemala,7.67,2013,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
7.67,7.33,7.83,7.83,7.67,0,2,10.0,Green,Guatemala,7.67,2013,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
7.83,7.58,7.75,7.75,7.17,0,1,10.0,Green,Colombia,7.75,2012,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
7.67,7.83,8.17,7.75,8.08,0,1,9.33,Green,Guatemala,8.17,2012,Natural / Dry,9.33,9.33,Caturra,1450.0,Specialty
7.42,7.5,7.67,7.83,7.58,0,13,10.0,Green,Guatemala,8.17,2012,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
7.33,7.5,7.67,8.25,7.83,4,11,10.0,Green,Mexico,7.5,2012,Washed / Wet,10.0,10.0,Typica,1100.0,Specialty
7.58,7.58,8.17,7.67,7.42,0,0,10.0,Green,Indonesia,7.67,2012,Washed / Wet,10.0,10.0,Typica,1400.0,Specialty
8.0,7.33,7.67,7.67,7.67,0,0,10.0,Green,Guatemala,7.5,2012,Washed / Wet,10.0,10.0,Caturra,1524.0,Specialty
8.08,7.92,7.75,8.0,7.75,0,0,9.33,,United States (Hawaii),8.0,,,9.33,9.33,,,Specialty
7.58,7.58,7.58,7.58,7.67,0,5,10.0,Green,Brazil,7.67,2017 / 2018,Natural / Dry,10.0,10.0,Bourbon,890.0,Specialty
7.83,7.5,7.75,7.58,7.58,0,0,10.0,Green,Guatemala,7.75,2016,Washed / Wet,10.0,10.0,Caturra,1128.3696,Specialty
7.58,7.58,7.75,7.58,7.67,0,4,10.0,Green,Colombia,7.75,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.67,7.58,7.67,7.58,7.75,0,3,10.0,Green,Colombia,7.75,2015,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.58,7.58,7.75,7.67,7.5,1,13,10.0,Green,Mexico,7.75,2014,Washed / Wet,10.0,10.0,Caturra,1200.0,Specialty
7.67,7.58,7.75,7.67,7.5,0,7,10.0,,Ethiopia,7.67,2014,Washed / Wet,10.0,10.0,Other,1850.0,Specialty
7.75,7.42,7.67,7.67,7.75,0,5,10.0,Green,Uganda,7.67,2013,Washed / Wet,10.0,10.0,Sl14,1800.0,Specialty
7.67,7.67,7.67,7.67,7.67,0,0,10.0,Green,Colombia,7.58,2014,Natural / Dry,10.0,10.0,Caturra,1600.0,Specialty
7.58,7.67,7.67,7.75,7.67,0,1,10.0,Green,Colombia,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1550.0,Specialty
7.58,7.5,7.75,7.83,7.75,0,0,10.0,,Colombia,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1550.0,Specialty
7.75,7.75,7.75,7.58,7.5,0,0,10.0,Green,Taiwan,7.75,2013/2014,Other,10.0,10.0,Typica,1000.0,Specialty
7.67,7.58,7.67,7.58,7.75,0,3,10.0,Green,Colombia,7.67,2012,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.58,7.58,7.83,7.58,7.67,0,2,10.0,,Mexico,7.67,2012,Washed / Wet,10.0,10.0,Typica,1000.0,Specialty
7.58,7.58,7.67,7.75,7.67,0,4,10.0,Green,Colombia,7.58,2012,Natural / Dry,10.0,10.0,Caturra,2136.0,Specialty
7.75,7.5,7.83,7.58,7.5,0,2,10.0,Blue-Green,Brazil,7.75,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Catuai,1100.0,Specialty
7.75,7.58,7.75,7.5,7.75,0,5,10.0,Bluish-Green,Colombia,7.58,2016,Washed / Wet,10.0,10.0,Caturra,1799.0,Specialty
7.17,7.17,7.58,7.0,7.0,0,0,10.0,Blue-Green,Taiwan,7.58,2016 / 2017,,10.0,10.0,,,Specialty
7.67,7.5,7.92,7.67,7.5,0,0,10.0,Blue-Green,Costa Rica,7.42,2015,Washed / Wet,10.0,10.0,Caturra,1850.0,Specialty
7.5,7.58,7.75,7.75,7.75,0,0,10.0,Green,Colombia,7.58,2016,Natural / Dry,10.0,10.0,Caturra,1000.0,Specialty
7.83,7.5,7.67,7.58,7.58,0,5,10.0,Bluish-Green,Guatemala,7.75,2016,Washed / Wet,10.0,10.0,Bourbon,1219.2,Specialty
7.58,7.58,7.58,7.67,7.75,0,4,10.0,Green,Colombia,7.58,2015,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.67,7.58,7.75,7.58,7.67,0,21,10.0,Green,"Tanzania, United Republic Of",7.67,2015,Washed / Wet,10.0,10.0,Ruiru 11,1400.0,Specialty
7.92,7.58,7.25,7.58,7.83,0,8,10.0,Bluish-Green,Indonesia,7.67,2015,Semi-Washed / Semi-Pulped,10.0,10.0,Sumatra,1500.0,Specialty
7.58,7.5,7.67,7.67,7.75,1,18,10.0,,Ethiopia,7.75,2014,Natural / Dry,10.0,10.0,,1600.0,Specialty
7.83,7.67,7.67,7.67,7.58,1,0,10.0,,Colombia,7.42,2014,Washed / Wet,10.0,10.0,,,Specialty
7.58,7.25,8.0,7.58,7.92,0,0,10.0,Green,Colombia,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1850.0,Specialty
7.83,7.5,7.58,7.67,7.42,0,0,10.0,Green,Guatemala,7.75,2013,Washed / Wet,10.0,10.0,Caturra,1400.0,Specialty
7.5,7.33,7.75,7.83,7.83,2,0,10.0,,Colombia,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1650.0,Specialty
7.5,7.67,7.67,7.67,7.67,0,3,10.0,Green,Honduras,7.5,2014/2015,Natural / Dry,10.0,10.0,Caturra,1350.0,Specialty
